Nrotrans;Fecha;Fechaext;Talonario;Abreviado;Prefijoext;Numeroext;Codprv;Provincia;Codctacte;Nombre;Coddoc;Nrodoc1;Nrodoc2;Codban;Banco;CoddocB;Nrodoc1B;Nrodoc2B;Regimen;Descripcion;Impsuj;Importe
5537927;05/05/18;05/05/18;7382;FAB;0162;00045227;;;H00723;MUNICIPALIDAD PERITO MORENO;D;20015153467;;;;;;;LHE;TASA VIAL LAS HERAS;1.058,31;30,84
5675165;24/05/18;24/05/18;6243;FAC;0068;00057713;SCR;SANTA CRUZ;SC04275;BARON JUAN;96;20015153467;;;;;;;SCR;SANTA CRUZ;1.016,40;15,25
5537312;04/05/18;04/05/18;6351;FAB;0072;00636325;;;Z929;ARROYO PAOLA VANESA;95;20015153467;;;;;;;LHE;TASA VIAL LAS HERAS;1.155,19;33,58
5580967;10/05/18;10/05/18;7372;FAB;0150;00105532;;;LHE0051;IDUV;80;20015153467;;;;;;;LHE;TASA VIAL LAS HERAS;538,89;15,70
5587435;11/05/18;11/05/18;6351;FAB;0072;00637442;SCR;SANTA CRUZ;LHE50795;RAMIREZ RAUL;80;20015153467;;;;;;;LHE;TASA VIAL LAS HERAS;3.592,35;104,32
5646832;19/05/18;19/05/18;7382;FAB;0162;00048053;SCR;SANTA CRUZ;LHE50795;RAMIREZ RAUL;80;20015153467;;;;;;;LHE;TASA VIAL LAS HERAS;2.913,20;84,60
5620363;16/05/18;16/05/18;6351;FAB;0072;00638137;SCR;SANTA CRUZ;LHE51405;ASPILCHE VICTORIA;80;20015153467;;;;;;;LHE;TASA VIAL LAS HERAS;1.515,52;44,16
5646328;18/05/18;18/05/18;7382;FAB;0162;00048034;SCR;SANTA CRUZ;LHE51809;SANCHEZ ANTONELA;80;20015153467;;;;;;;LHE;TASA VIAL LAS HERAS;1.019,64;29,64
5587451;11/05/18;11/05/18;7372;FAB;0150;00105559;;;ZX000042;MUNICIPALIDAD DE PUERTO DESEADO;80;20015153467;;;;;;;LHE;TASA VIAL LAS HERAS;359,23;10,47
5576294;09/05/18;09/05/18;3040;FAC;0121;00006724;SCR;SANTA CRUZ;SF000030;SEVICIOS PUBLICOS CAÑADON SECO;80;20015153467;;;;;;;SCR;SANTA CRUZ;6.123,99;91,86
5623202;16/05/18;16/05/18;3080;FAC;0127;00000930;SCR;SANTA CRUZ;SF000030;SEVICIOS PUBLICOS CAÑADON SECO;80;20015153467;;;;;;;SCR;SANTA CRUZ;8.815,25;132,23
5673309;24/05/18;24/05/18;3080;FAC;0127;00000946;SCR;SANTA CRUZ;SF000030;SEVICIOS PUBLICOS CAÑADON SECO;80;20015153467;;;;;;;SCR;SANTA CRUZ;4.231,32;63,47
5516562;01/05/18;01/05/18;1140;FAC;0148;00004664;SCR;SANTA CRUZ;SJ001513;E.G.B. N§ 29;80;20015153467;;;;;;;SCR;SANTA CRUZ;894,37;13,42
5544437;05/05/18;05/05/18;1140;FAC;0148;00004719;SCR;SANTA CRUZ;SJ001513;E.G.B. N§ 29;80;20015153467;;;;;;;SCR;SANTA CRUZ;926,81;13,90
